i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:mTesla1	odmr:Gauss1	odmr:resonanceFrequency1	odmr:resonanceFrequency_err1	odmr:FWHM1	odmr:FWHM_err1	odmr:contrast1	odmr:contrast_err1	odmr:sensitivity1	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	7.8691954840118843	78.691954840118839	2649466177.1148605	14253259.882210668	447075322.03297734	48628356.322296612	0.092552176265739514	0.0056604754533683627	0.00037335170702184695	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.1063859199999948	126663.13759612505	3.2151486399999999e-07	0.036272446781640003	-26.285	32134.897381250001	3.6402168550000003e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	1	9.1693498849644168	91.693498849644172	2613029412.9036326	4315516.4773293184	100049651.17425881	12274107.10905309	0.090733160020053855	0.0078363143291260741	0.00010155890520771267	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0438700799999951	89199.303238497218	-8.8215649500000005e-07	0.035049190770540001	-26.766999999999999	32134.897381250001	-8.2428274500000008e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	2	10.355487898407613	103.55487898407614	2579787952.4385214	3215275.3282619622	82448667.090969101	9117445.2488646545	0.12664616567612108	0.009883120030856141	5.6211326203504022e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	4.3216595199999963	101492.49332811864	-8.6567257699999997e-07	0.026174323802220002	5.6429999999999998	32134.897381250001	-8.058245965e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	3	13.905191112804866	139.05191112804866	2480307691.5186858	2497509.3682863545	65000527.39089635	8748164.3935944587	0.13950248132011203	0.010784464694547901	4.3512160846134988e-05	nan	nan	nan	nan	251522654.72746867	739309870.02375484	0.23548777753489814	1.6787861112139224	9.9743462558186886e-05	4.1522617599999965	86765.483686654741	-9.8569854900000008e-07	0.035100069169740004	-27.202999999999999	32134.897381250001	-9.2778949449999999e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	4	15.208485933118213	152.08485933118214	2443782917.2067418	2703539.1227529771	81091295.628839657	7663129.8208067063	0.16133045058970583	0.010762293956070174	4.3884436844436901e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.1043692799999949	99264.309252273888	-9.6937262399999999e-07	0.025936833505800002	5.3129999999999997	32134.897381250001	-9.0948637999999997e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	5	20.798275749847495	207.98275749847494	2287129327.9151392	2926657.8348385487	103805038.0685505	8656659.1727715358	0.13886524210099591	0.0078451799062071673	6.8765943178921259e-05	2.3917467968384716	23.917467968384717	2802971411.6834769	6240184.9131363807	197390490.03473845	20697089.680896327	0.10314868383494413	0.0059070788576462393	0.00017603987927920355	6.0156371199999947	89413.139335106782	-1.0735840940000001e-06	0.035246050283640001	-27.427	32134.897381250001	-1.0159535650000001e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	6	nan	nan	nan	nan	4.9999999999999999e-13	1.2187323896838613e-08	0	nan	nan	1.9268543825640139	19.268543825640137	2815999999.1113214	7159579.7172099371	95102122.268488348	21935514.30941477	0.10732813178426552	0.016162318184869025	8.2399859312098049e-05	6.0559699199999955	87498.122844044832	-1.0600104569999999e-06	0.022228203661800002	7.4470000000000001	32134.897381250001	-9.9982393500000005e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	7	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.1184857599999951	85887.590592349501	-1.1471314359999999e-06	0.033244851777420002	-24.411000000000001	32134.897381250001	-1.0849646115000002e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	8	7.9898165192800201	79.898165192800207	2646085778.4347043	30786877.537950762	796000000	120254352.06821953	0.052016768445123797	0.003036533461613789	0.001461339452589968	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0337868799999947	82972.768173078133	-1.1311034405000002e-06	0.02262762198426	7.2290000000000001	32134.897381250001	-1.0712006799999999e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	9	12.899607829233114	128.99607829233113	2508489114.4107766	27942608.092627242	796000000	127804025.04798642	0.041544243468019243	0.0028086765574132757	0.0018446626232361551	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.1346188799999952	81633.59611999245	-1.2055565445e-06	0.035805594961319999	-27.777000000000001	32134.897381250001	-1.1460285595e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	10	2.5942296714131752	25.94229671413175	2797296838.9155927	3889526.8385155345	75682993.322239831	11384753.512389703	0.098170037909673297	0.01013867719955144	6.471980378439618e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0358035199999955	107364.992556948	-1.1921754295000001e-06	0.024374954935500001	6.6530000000000005	32134.897381250001	-1.1321672229999999e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	11	5.2736551355877692	52.736551355877694	2722206069.8591151	2763594.1392274378	63063013.476800002	10658015.07486541	0.096073033690015852	0.0084489028724848807	5.1590163937656214e-05	nan	nan	nan	nan	173372626.39357507	764539954.30451298	0.50222805366344492	4.7221537007460546	2.7131465519145399e-05	6.0156371199999947	122492.92723295129	-1.2635321105e-06	0.021283094889000001	-9.9250000000000007	32134.897381250001	-1.2021679669999998e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	12	2.7685418240578183	27.685418240578183	2792411749.2674623	3102413.9531896804	90585619.226044327	9187346.3834240995	0.13034859086439002	0.0089745479355551362	5.3568875193724227e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0942860799999954	127344.20239097154	-1.2496311794999999e-06	0.025694297877120003	6.3449999999999998	32134.897381250001	-1.1896092175e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	13	3.0022560848382134	30.022560848382135	2785861918.4115133	56747432.18932981	796000000	140441157.08814809	0.043147920778337817	0.0025797453515014083	0.0014339037502230528	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0922694399999955	125246.26619271793	-1.3176503615000001e-06	0.022452699693540003	-1.673	32134.897381250001	-1.2561788910000001e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	14	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.195118079999995	134178.87912154221	-1.3015094785e-06	0.025251649264440002	19.702999999999999	32134.897381250001	-1.2415311205000001e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	15	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0015206399999954	119715.82588775376	-1.3565480720000002e-06	0.030692515300740002	-28.029	32134.897381250001	-1.2962668675000001e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	16	2.8106458738820987	28.106458738820987	2791231785.3072886	5478068.6160511589	169027045.34735447	17383222.87078201	0.093605594330341477	0.005886238260136574	0.00014108757701531159	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.1104191999999946	123945.17875303885	-1.3404509415000001e-06	0.02479479328386	10.541	32134.897381250001	-1.2805323960000001e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	17	nan	nan	nan	nan	642337323.05434692	95504681.573882625	0.072522206573249315	0.0089962334417659617	0.00071611919029644026	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0458867199999951	115747.62022666555	-1.3956644680000001e-06	0.035674331307240001	-28.309000000000001	32134.897381250001	-1.336044743e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	18	3.1754482664132087	31.754482664132087	2781008215.898448	6183346.8855702281	205134189.25814945	19760349.771942176	0.090005969976559838	0.0051546478515566013	0.00017781806093261751	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0600031999999953	124302.57462570326	-1.3798725930000001e-06	0.024801741651360003	-4.2010000000000005	32134.897381250001	-1.3196481705e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	19	3.4425802003448673	34.425802003448673	2773521856.3685136	8522944.4445717875	291751601.09001482	26962500.211153846	0.088353830887045737	0.0044171900460516066	0.00028220340257415757	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.102352639999995	103597.5856026571	-1.4307863515e-06	0.035409126016500002	-27.395	32134.897381250001	-1.3725372815000002e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	20	3.7549745914813588	37.549745914813585	2764767018.6643062	9299688.8066415414	305402577.9230901	29604793.515826449	0.083840096051703866	0.0044187275158657259	0.00031297856883067126	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.120502399999995	102496.97802585627	-1.4160137145e-06	0.025657165801200001	-5.327	32134.897381250001	-1.356037199e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	21	1.9064423098051884	19.064423098051883	2816572046.4632597	32910229.480706505	646597896.04461515	71427263.791572154	0.08340713746880718	0.0036077203975085573	0.00069171916168766048	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0801695999999952	95038.796286208933	-1.4570659400000001e-06	0.036031673585940005	-27.329000000000001	32134.897381250001	-1.3992621884999999e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	22	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0862195199999949	88640.575356703601	-1.4407076915e-06	0.0231501948072	-2.7010000000000001	32134.897381250001	-1.3805784850000002e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	23	2.7973592291086655	27.973592291086653	2791604142.884522	16758331.094996678	420917720.07328624	45712095.704711318	0.079191107611647452	0.0038640765506397869	0.00050232894583481511	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.009587199999995	84715.635709554292	-1.4684901495000001e-06	0.0352774994124	-27.217000000000002	32134.897381250001	-1.4077219750000001e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	24	2.318417070180518	23.184170701805179	2805026473.7268405	14858321.321836134	375621255.52537936	39645369.618002973	0.089539144904021151	0.0042865919392935867	0.00042984327173093534	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.009587199999995	72069.675601013048	-1.453258818e-06	0.02558762653926	0.95300000000000007	32134.897381250001	-1.393313416e-06	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
