i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	7.3191879075055226	73.191879075055226	2664880112.8480849	2493319.7299511181	88844996.936156005	7182148.3734107958	0.078849679972290712	0.0044415122589976323	6.8915222947516541e-05	8.1245952000000017	202271.24669546608	-8.8778765350000005e-07	0.026822657172180003	4.8630000000000004	32196.152206250001	-7.6779542949999997e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	1	7.0775970174585821	70.775970174585822	3068349314.141685	1224864.4876785029	41808671.451792702	3471815.7224201616	0.098074646912029634	0.0057492069329306639	2.7877511708953396e-05	8.0862668800000002	176933.3143751001	-8.9991515350000002e-07	0.026824141670460003	2.669	32196.152206250001	-7.7976851700000007e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	2	7.4680549705868078	74.680549705868074	3079291879.3955569	969251.39098575641	36347821.845853627	2745381.3371029268	0.10990936969062667	0.0058635118511235519	2.2144270447360457e-05	8.0539904	168757.46462275396	-8.9966935300000004e-07	0.027035774230320001	7.2969999999999997	32196.152206250001	-7.7959884750000013e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	3	7.5513046167513327	75.513046167513323	2658375053.2966352	755750.63036511908	29607385.141601302	2139221.9647330893	0.15210212078963464	0.0077663400429534282	1.324654717568613e-05	8.1538457600000012	163388.91355237016	-9.2985346299999994e-07	0.027209319926820002	4.3970000000000002	32196.152206250001	-8.0973322099999997e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	4	7.7701410123210284	77.70141012321028	2652242173.8937225	519932.87838439591	23746203.813524425	1471241.1325260941	0.18332434990397892	0.0080288941626991666	8.8412010202110298e-06	8.0166707200000005	162414.17983549161	-9.287388770000001e-07	0.027113268964320002	4.3630000000000004	32196.152206250001	-8.087053315e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	5	7.9172220460144915	79.172220460144914	2648120235.037302	428517.54309379007	20704722.44043643	1212712.7402047929	0.19005807485354012	0.0078693634862995031	7.8176752481170393e-06	8.1165260800000016	146929.60858446473	-9.7058156250000006e-07	0.026976521822100002	2.3450000000000002	32196.152206250001	-8.5048591650000005e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	6	8.0149405092200823	80.149405092200823	2645381679.8316302	795376.53134138347	18031516.152593039	2251606.2727104002	0.22164576694383925	0.019564949066161172	5.8302006593594042e-06	1.0489856000000002	147325.18730476373	-9.7346933750000008e-07	0.0270513026055	5.5629999999999997	32196.152206250001	-8.5340160950000002e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	7	8.1690793785154074	81.690793785154071	2641061945.4737844	602860.20421590295	23800120.418573868	1705883.7162525377	0.18280594359400734	0.0092620451164184357	9.6272384551055583e-06	8.1356902400000006	138379.7768583677	-9.9783590500000012e-07	0.026898781851600002	8.2210000000000001	32196.152206250001	-8.7760431000000004e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	8	8.2726178160443542	82.726178160443538	2638160285.7691545	729855.73367470584	19507177.481476534	2065018.1117797352	0.21641174982157477	0.016196084404510553	6.5361436614284749e-06	2.2179993600000003	143907.16505887537	-9.9794137300000006e-07	0.026908427820600003	8.697000000000001	32196.152206250001	-8.7785226100000004e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	9	8.3686522617146739	83.686522617146736	2635468925.0734696	1021488.7642206718	26448739.953152634	2890764.9842419499	0.20169191292691371	0.015581069878430984	8.8792271933128918e-06	2.11612672	165036.90289398169	-9.914637590000001e-07	0.027036846731280002	7.7450000000000001	32196.152206250001	-8.7138265500000001e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	10	8.4441762420189299	84.441762420189292	2633352369.1777825	633394.33365740906	21173576.376779672	1792440.2283602213	0.21666698717683261	0.012966062199049782	6.6131489926689927e-06	2.6446540800000005	165228.41429605792	-9.9273779000000012e-07	0.026793274569660002	8.7669999999999995	32196.152206250001	-8.7262486849999997e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	11	8.5488059346787679	85.488059346787679	2630420127.1008825	742553.26380110229	28570238.727796681	2101698.1423834851	0.17907029196115301	0.0093096373886061255	1.1144052957676298e-05	8.0771891200000017	155093.18667531703	-9.6384179650000014e-07	0.027449713823400002	4.0970000000000004	32196.152206250001	-8.4371742950000003e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
