i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	1.3702795233344633	13.702795233344634	2831597982.6252694	5746935.8393730745	112059443.00742362	17009291.526242178	0.033297693967257139	0.0034390342618294814	0.0002910617612418365	7.0534195200000003	101157.17603027247	-2.2710572555e-06	0.024078346293480001	27.931000000000001	32195.758847500001	-2.1409848130000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	1	4.4052852441816901	44.052852441816903	2746542094.0714025	4982353.3453793526	101420443.30778813	14660683.358153369	0.046519491028198912	0.0045986332496237249	0.00018577142011144094	7.0029875200000005	104212.95167465898	-2.5527813080000003e-06	0.023535690236100002	21.167000000000002	32195.758847500001	-2.4223833974999998e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	2	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.1028428800000007	105344.15763396415	-2.5562808590000001e-06	0.024059361718560001	22.998999999999999	32195.758847500001	-2.4262682565000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	3	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0574540800000003	123174.16311123912	-2.7726653735e-06	0.023458009122360002	9.4090000000000007	32195.758847500001	-2.6424626745000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	4	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0655232000000003	121351.38131030409	-2.7746659655000001e-06	0.022503280539120003	11.115	32195.758847500001	-2.6444973170000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	5	6.3209633528339433	63.209633528339431	3047144692.2813835	4678948.8753020307	99689426.833590209	13593454.09392052	0.033982739367466964	0.0032058361343206229	0.00023027712252854732	7.0100480000000003	122794.3089690684	-2.9094927675000001e-06	0.024048649788240003	9.5129999999999999	32195.758847500001	-2.7793235470000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	6	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0695577600000004	113033.09586369374	-2.9056983725000002e-06	0.025035677653440003	12.417	32195.758847500001	-2.7750118440000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	7	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.1189811200000008	106303.83579385022	-3.0296561954999997e-06	0.024238162015800001	17.343	32195.758847500001	-2.8994953680000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	8	0.549639439759667	5.4963943975966698	2854596381.2812986	1493587.3330485853	20521145.885593008	4227108.8156613465	0.15223223430389746	0.022167064757017532	1.130661200927316e-05	7.0786355200000006	107553.21387136485	-3.0318157704999999e-06	0.02384557434732	17.111000000000001	32195.758847500001	-2.9017946320000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	9	0.33908382553718586	3.3908382553718583	2860497192.1874142	1823911.0566629509	24497248.065861009	5161582.4791013524	0.13920971977012078	0.020731948845955826	1.5612335719115694e-05	7.0261862400000004	96129.81736163031	-3.1659100275000003e-06	0.02340052241694	18.100999999999999	32195.758847500001	-3.0357346030000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	10	0.33034403568682713	3.3034403568682711	2860742124.3753142	1873647.8953529724	24327042.569558706	5301573.6930000745	0.13688767101272398	0.021087454844290671	1.5821804364755351e-05	7.0655232000000003	95463.277227651022	-3.166291986e-06	0.024222156246900002	17.286999999999999	32195.758847500001	-3.0362875565e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	11	1.6279214235837605	16.279214235837603	2915622419.1696548	1490495.6091842889	22293291.547289148	4217330.97096455	0.16707224319044783	0.022342261478669651	1.1361723060001237e-05	7.021143040000001	104363.77607256381	-3.2604241945000002e-06	0.02150866669152	18.629000000000001	32195.758847500001	-3.130120477e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	12	0.83464885185306714	8.3464885185306716	2893390993.7095637	7935454.5210701069	151269215.26903462	24202758.963544685	0.07656194951577501	0.0081216933153631498	0.00016890901498211607	7.064514560000001	103530.39742337227	-3.2628898940000001e-06	0.023604068711940002	15.167	32195.758847500001	-3.1328007039999999e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	13	1.8795523947951005	18.795523947951004	2922674364.9689789	1520808.3719372475	21982485.42070638	4303597.7877336051	0.16122169270974077	0.022311546530655462	1.1108352015732897e-05	7.0887219200000011	114000.23997555823	-3.330542149e-06	0.023064980028180002	15.297000000000001	32195.758847500001	-3.2002934590000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	14	2.0622476052576371	20.622476052576371	2927794389.4070511	1734689.1488300082	25696715.719032988	4908923.9361739876	0.16313281537590052	0.022027448319658343	1.2783175547099275e-05	7.056445440000001	114892.97364991742	-3.3309639715e-06	0.022162238313120003	15.777000000000001	32195.758847500001	-3.2004885825000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	15	2.178310356998316	21.783103569983162	2931047042.4117889	1446400.7567378569	20464077.351689287	4093243.4475740483	0.16810742237681983	0.023770144906699726	9.9063532950571292e-06	7.021143040000001	114256.60970439365	-3.3564001294999998e-06	0.023173518433260001	15.282999999999999	32195.758847500001	-3.2261440695000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	16	1.3710714553961987	13.710714553961987	2831575788.7675371	1779233.070826371	21653304.268497977	5037514.4852485172	0.15894128648259404	0.026124131046165178	1.1000729769914682e-05	7.0039961600000007	116046.03735248192	-3.3560352869999999e-06	0.023333667677220001	14.917	32195.758847500001	-3.2258210160000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	17	2.4093006486295048	24.093006486295046	2937520534.1640625	1881541.957448093	26990496.385022059	5324869.8758663209	0.1466591815285907	0.020450127307208254	1.5312978442991652e-05	7.0382899200000004	109290.46810279733	-3.3528694155e-06	0.024390166138140001	15.961	32195.758847500001	-3.2228840820000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	18	2.632792191110541	26.32792191110541	2943783873.8340425	2467800.7723411317	35340012.820574708	6989060.0859594475	0.12370680115118889	0.017281828932994733	2.3682172738947632e-05	7.072583680000001	110103.61067937197	-3.3523369330000001e-06	0.02527628408832	20.434999999999999	32195.758847500001	-3.2225416795000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	19	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0201344000000008	121669.18057865102	-3.3746504000000001e-06	0.02427121335636	18.109000000000002	32195.758847500001	-3.2446542095e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
