i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	7.5623180611714265	75.623180611714261	2658066402.0493722	2235205.3963516359	57169573.143788464	6379393.5300608175	0.11291614061145933	0.0088454563621815554	4.5764360852874868e-05	8.0388608000000001	92610.758977192396	6.9668239300000001e-07	0.02623625419302	1.4770000000000001	32197.009410000002	8.2648318500000004e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	1	11.098687939204984	110.98687939204984	2558959807.2363291	1875892.2369625764	40352780.208871938	5315917.7651340365	0.087002379160537699	0.0080923425985289527	4.6627238654566384e-05	8.0862668800000002	74869.282573072822	6.3742408950000012e-07	0.025961491218420001	8.9150000000000009	32197.009410000002	7.6760036100000011e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	2	11.472335895391623	114.72335895391623	2548488341.3338137	2036748.0200960829	45328334.173188411	5776362.6325709913	0.093864043139567352	0.0084401224836078599	4.8839309433527071e-05	8.06205952	73977.623028017537	6.3566734000000001e-07	0.026208872720340001	6.5750000000000002	32197.009410000002	7.6575694800000004e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	3	13.766200299526027	137.66200299526025	2484202902.3392296	1031717.8418765346	25625591.618142247	2919595.3491108781	0.12980148771942326	0.010453100524622293	1.9101631267207018e-05	8.0055756800000015	80825.043177906715	4.9028584550000005e-07	0.026064699816900003	3.5369999999999999	32197.009410000002	6.2037305000000009e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	4	14.229377617722704	142.29377617722704	2471222380.3960228	1000209.0265101927	22637466.547998179	2829996.9240569654	0.13919100021032274	0.0123008899143326	1.5804758758704717e-05	8.0761804800000014	80122.776057624695	4.9049676500000002e-07	0.02634706839282	4.1589999999999998	32197.009410000002	6.2058442050000001e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	5	13.333154620300583	133.33154620300581	2496338986.5574336	4300299.2163226306	104616391.39657435	12522808.592064306	0.054707779658511736	0.0045218886400379635	0.00019341731069598463	8.1114828800000005	73962.062039142213	3.5897854300000001e-07	0.026240351277480003	1.7890000000000001	32197.009410000002	4.8910663999999995e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	6	13.824182583889018	138.24182583889018	2482577951.62398	3318171.5042684088	70974029.556866109	9478704.726911772	0.06619565440757999	0.0062021196436463583	0.00010562330625101936	8.0570163200000007	77968.44080365471	3.5900670300000004e-07	0.026278340046240002	-1.7710000000000001	32197.009410000002	4.8912706149999997e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	7	13.954765641876168	139.54765641876168	2478918367.7388868	4285721.6867583999	114696207.03058736	12597138.009963479	0.06105529424299088	0.0045934957483990879	0.0001802357467988519	8.0560076800000004	82199.27615560565	2.6989994350000001e-07	0.026239232999040001	-5.8849999999999998	32197.009410000002	4.0012424650000001e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	8	14.842926141508507	148.42926141508508	2454027712.6881323	4539005.6779560605	120207529.7979058	13404333.774968963	0.067343992030842195	0.0051234042207904317	0.00017026182878384968	8.0277657600000012	83162.864981252249	2.7119621100000001e-07	0.02642741440986	-7.681	32197.009410000002	4.0128363550000001e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	9	14.994241487981682	149.94241487981682	2449787107.4208317	6541834.5322440462	170675736.58571583	20407266.594182581	0.046691546279318021	0.0036269692776023698	0.00034070281846314016	8.1074483200000014	87099.167596050727	2.11067615e-07	0.026420416995060002	-12.329000000000001	32197.009410000002	3.412082135e-07	nan	nan	nan	1.3e-07	1	0	0	0	0	0
