i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	nan	nan	nan	nan	396000000	85211834.615646288	0.046661410236317952	0.048063294270982715	0.00071009791438019052	9.0333798400000003	108077.81996245604	-2.9679141690000005e-06	0.024146950386900002	11.721	32195.758847500001	-2.8378957915000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	1	1.047541613147438	10.475416131474379	2840642696.9506555	55488424.298324391	396000000	138126895.48811114	0.024106321696616931	0.0028540695648224972	0.0013749109636385227	9.1140710400000007	108013.42184842131	-3.1204090115000001e-06	0.023535624839700002	20.995000000000001	32195.758847500001	-2.9902727635000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	2	1.5258265284224846	15.258265284224846	2827238785.3299308	12744641.125066547	249879018.9932763	44939244.535355948	0.024150540923353569	0.0024948196764940636	0.00086050881029483476	9.1231488000000009	109394.02851787311	-3.122959235e-06	0.023035577806740003	22.466999999999999	32195.758847500001	-2.9922831950000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	3	1.9520982774073403	19.520982774073403	2815292540.179132	1579980.4784762184	21721199.419577502	4470605.7595862048	0.055333699363999976	0.0080509159055733651	3.4983608627078037e-05	9.0495180800000004	95270.266590814965	-3.211195691e-06	0.02395775533188	18.863	32195.758847500001	-3.0810342584999999e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	4	2.0771661215947388	20.77166121594739	2811787519.8940611	16980542.983431235	284098417.59501791	63537483.723582618	0.022852461313173169	0.002754656890612267	0.0010968110485908801	9.0596044800000008	97208.989856475499	-3.211951369e-06	0.02381053822602	18.263000000000002	32195.758847500001	-3.0819126910000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	5	4.9730847200938051	49.730847200938051	2730629541.2177482	4779535.3926681336	109868593.77143911	13993466.78360372	0.039716632230721471	0.0034768152362647056	0.00026978266643527365	9.0000947200000017	79555.940495701798	-3.2791178310000001e-06	0.02375645867304	15.025	32195.758847500001	-3.1490277555e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	6	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	9.1443302400000004	116210.04186305503	-3.280433002e-06	0.023506487473680001	15.825000000000001	32195.758847500001	-3.1503535415000004e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	7	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	9.0757427200000009	117717.74861418724	-3.321667294e-06	0.023765208711360002	13.563000000000001	32195.758847500001	-3.1915224385000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	8	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	9.0828032000000007	119200.42482039024	-3.3218884159999998e-06	0.023480368151520003	4.7610000000000001	32195.758847500001	-3.1918145380000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	9	8.2498626242575526	82.498626242575526	2638797998.9185386	5407639.0151959537	191720679.14745167	17651592.482880134	0.039742036200173275	0.0022493099296210573	0.00038055009475623282	9.0858291200000014	121594.07638078052	-3.3461302434999999e-06	0.024347226861900002	-0.30299999999999999	32195.758847500001	-3.2160951295000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	10	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	9.0091724800000001	122949.36104941793	-3.3469186685000002e-06	0.023904833295180002	0.625	32195.758847500001	-3.2168548555e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	11	7.2325971340651289	72.325971340651293	2667306815.0862222	5237205.9900584975	188729217.55763066	16820715.912545767	0.046195309717829904	0.0025965809442591347	0.0003626714472413941	9.0142156800000013	96018.337116158276	-3.3485810160000002e-06	0.023757691395180001	5.2090000000000005	32195.758847500001	-3.2185134905000004e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	12	6.2109183023031269	62.109183023031271	2695939314.937964	7468224.2798607005	211819181.54096073	24843803.517423376	0.039173337961348621	0.0027923886884748048	0.00042684827372066171	9.0535526400000013	121422.94232024257	-3.3464657159999998e-06	0.02372919164406	8.3469999999999995	32195.758847500001	-3.2164504294999998e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	13	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	9.0182502400000004	101931.0814777302	-3.2758438350000003e-06	0.024190321279380003	5.7030000000000003	32195.758847500001	-3.1456653470000004e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	14	6.7254739360046107	67.254739360046102	3058481081.8126097	2440527.8879742227	71795870.821310759	7083101.2825148357	0.06185565296238936	0.0042232868103279616	9.8897848454813689e-05	9.0192588800000006	104223.30842331913	-3.2734822835e-06	0.024255518220360001	3.8490000000000002	32195.758847500001	-3.1434679925000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	15	5.6928764821465707	56.928764821465705	3029542588.104651	1569502.4183144846	37255376.413781829	4451900.8231686661	0.081305486247312056	0.0068546485250051059	3.9423973092984079e-05	9.0081638400000017	102215.2811998588	-3.1627674429999998e-06	0.02329510995978	5.9050000000000002	32195.758847500001	-3.032690463e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	16	4.3933385307363304	43.933385307363302	2993123099.8620343	2236528.4910269026	42220375.078012146	6342083.250376462	0.077590899700650778	0.0082249171107879153	4.6616967946727384e-05	9.1856844800000008	103093.8959488406	-3.1636228800000001e-06	0.024626211174120002	4.3209999999999997	32195.758847500001	-3.0334590989999998e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	17	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	9.0111897600000006	107933.47226104802	-3.2339272404999999e-06	0.02402829188892	13.553000000000001	32195.758847500001	-3.1039121299999998e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	18	0.99898508895911786	9.9898508895911782	2897996508.8071604	9044342.3088198975	156003465.62113476	28247061.517366309	0.060959970990048032	0.0071214842948770212	0.00021289928640410435	9.052544000000001	109327.38907427568	-3.238047538e-06	0.0234870026163	14.151	32195.758847500001	-3.1080404960000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	19	1.6885805812473369	16.885805812473368	2917322389.1296997	1776949.4096651827	28106943.309293341	5031215.2747690836	0.13545094464573609	0.017130550483626404	1.6862615680583778e-05	9.0908723200000008	114580.75345623157	-3.3221339414999999e-06	0.02329598627154	18.713000000000001	32195.758847500001	-3.1919929305000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	20	0.92307660419074367	9.2307660419074367	2895869177.192461	4802230.9517237199	84253892.654205292	13808603.953187719	0.080891064928604664	0.0092510668275484712	8.4431884374714958e-05	9.0021120000000003	115150.08922350666	-3.3232837770000004e-06	0.023269121430420002	17.440999999999999	32195.758847500001	-3.1927951109999999e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	21	0.88833806667122917	8.8833806667122914	2894895631.3584323	3908438.266933037	82400703.204593167	11219658.844503038	0.091756110673155672	0.0087301468384733058	7.6494883195180594e-05	9.0394316800000016	104285.87032586543	-3.3676264380000001e-06	0.023608093860360002	19.321000000000002	32195.758847500001	-3.2375772715000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	22	0.89923101945422734	8.9923101945422736	2895200905.8333926	3867464.2540395767	87198332.342064172	11130094.41570369	0.091260604987098273	0.0081229771061632813	8.1904531646288551e-05	9.0121984000000008	102975.09650919358	-3.3689399205000002e-06	0.024013930839480002	19.638999999999999	32195.758847500001	-3.2388805185000005e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	23	0.80951282760317422	8.0951282760317422	2892686557.8455386	4292069.3359907381	106386289.92166471	12506659.929575955	0.089506696997551496	0.0072621933132702779	9.9371143808413875e-05	9.0908723200000008	108252.53785986513	-3.3835618355e-06	0.024053041156500001	20.036999999999999	32195.758847500001	-3.253547506e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
