i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	4.3171276425533645	43.171276425533648	2990987293.4062653	30980514.965938624	396000000	90466433.369495049	0.037011470221821288	0.0028922976173181127	0.00083166113790151489	7.0947737600000007	125234.29640693714	-1.8001678970000001e-06	0.02595082506558	9.9770000000000003	32195.758847500001	-1.670385728e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	1	8.4951274978679105	84.951274978679109	2631924462.6966176	21700354.08481703	346960533.43306845	83686462.803910211	0.020299908628357167	0.0021617105259862978	0.001488535365908676	7.1280588800000011	99758.99637910958	-2.1587827800000002e-06	0.023775505374540002	11.769	32195.758847500001	-2.0287491840000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	2	8.2237396199745181	82.237396199745177	2639530094.8502622	15439683.736102609	262462648.90636516	55623241.631427772	0.022436316287342967	0.002669480133897696	0.0010299001722526798	7.0473676800000007	97620.279122431137	-2.1621730735000004e-06	0.023510934428880002	10.915000000000001	32195.758847500001	-2.0320940035000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	3	4.6026053873166806	46.026053873166802	2741012206.6024466	2238520.1677234755	45315578.826904178	6348602.2206138708	0.063555162268786075	0.0062826987547302173	5.8226429353095267e-05	7.0009702400000009	113462.27348053973	-2.4668087729999998e-06	0.023580333088560002	19.286999999999999	32195.758847500001	-2.3367043975000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	4	4.8308988686940042	48.30898868694004	2734614292.8271198	2788406.8397330763	64431596.92935127	7945497.3140840651	0.069867256524356172	0.0060566272535094766	7.5938969645858158e-05	7.0927564800000011	111588.49203857058	-2.4695686510000004e-06	0.024421700282220002	18.715	32195.758847500001	-2.3393466140000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	5	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0443417600000009	74791.090204005086	-2.7064931685000002e-06	0.02362178132688	14.927	32195.758847500001	-2.5759082140000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	6	6.3128328122822825	63.128328122822822	2693083165.7243838	6005342.4567629686	166337696.11748305	18822329.578427289	0.048254512644054254	0.0035201501686686495	0.00029673081615508203	7.0110566400000005	102112.42566712454	-2.7069349505000004e-06	0.023474524983180003	11.968999999999999	32195.758847500001	-2.5768104560000003e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	7	8.2109156738753359	82.109156738753356	3100110514.6804743	4180471.7075951817	99215752.22538951	12171331.362494083	0.052729548426308351	0.0044666065890190598	0.00015342059017360525	7.0816614400000004	113811.00421541756	-2.8275019849999999e-06	0.023339288497800002	12.423	32195.758847500001	-2.6973899810000002e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	8	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.1250329600000004	113423.75600743887	-2.8272249170000003e-06	0.023956176008820003	3.141	32195.758847500001	-2.6970305009999998e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
0	9	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0766182400000011	103353.18017663757	-2.9005714319999999e-06	0.023779870584240002	3.2669999999999999	32195.758847500001	-2.7704696800000001e-06	nan	nan	nan	1.3e-07	1	0	0	0	0	0
