i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:mTesla1	odmr:Gauss1	odmr:resonanceFrequency1	odmr:resonanceFrequency_err1	odmr:FWHM1	odmr:FWHM_err1	odmr:contrast1	odmr:contrast_err1	odmr:sensitivity1	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	8.1257225522647136	81.257225522647133	2642277018.432724	2083150.2040424002	81339814.013168693	5936835.8732071007	0.14409536304301354	0.007392020019498134	5.2988512347611089e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.1246793599999974	85869.964627829962	4.6528904400000003e-07	0.030372641889420002	31.431000000000001	32134.897381250001	5.2280587700000003e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	1	10.13565797588288	101.3565797588288	2585948675.386302	1656691.4603334579	57758303.351801813	4694334.8330052253	0.16416739696970278	0.0094213772072812944	2.5521213325976718e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.1190636799999987	143797.32061129325	4.4530615250000003e-07	0.033024377624280003	62.948999999999998	32134.897381250001	5.03695346e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	2	9.8153432705903878	98.153432705903882	2594925479.5117049	1487953.7691961958	56082650.974220492	4215915.9737593485	0.17086926581473302	0.0090702368257313294	2.3653637517108665e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	4.5999382399999984	145690.65170753255	4.3779821800000001e-07	0.037414009609860001	11.853	32134.897381250001	4.9485992600000002e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	3	14.860427070669088	148.60427070669087	2453537249.9947519	2519299.6750667784	80586043.303599879	7178537.1400314784	0.14820378298111941	0.0092802605885483214	4.5883169584732061e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	4.5832991999999981	106265.59138884064	3.5729259500000003e-07	0.031539205761360004	30.843	32134.897381250001	4.1591124300000003e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	4	14.064834073802848	140.64834073802848	2475833705.257051	2499628.0231516236	71147691.583503231	7099663.083252714	0.13792623179415614	0.0097000369862039401	4.4519187745213126e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.1357027199999985	101585.52275006482	3.5565988700000001e-07	0.033922927430100003	23.048999999999999	32134.897381250001	4.1366636849999998e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	5	13.250258197494068	132.50258197494068	2498662154.7977152	1204547.9113171489	48192721.893579796	3410837.0629522484	0.19927613006550834	0.0099640285497895401	1.8600824472551776e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	4.6301910399999979	127904.65768773123	2.9720816400000001e-07	0.031486231407540005	12.325000000000001	32134.897381250001	3.5514576900000001e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	6	13.472194055834164	134.72194055834163	2492442413.1005521	1317405.9498937337	49725342.753381118	3731011.8666029661	0.18578304643411686	0.0098469091476548042	2.1713051404093222e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	4.7209494399999983	114974.11842648334	2.8986673650000001e-07	0.030459847988820003	14.059000000000001	32134.897381250001	3.48056962e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	7	10.608969517294206	106.08969517294206	2572684142.3275957	2371975.1157242488	91900475.341863155	6753644.7653446337	0.11623881039691072	0.0060086232135400713	6.6543525918552905e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.065686399999997	106811.9842133613	2.5966060450000001e-07	0.02458856573646	35.529000000000003	32134.897381250001	3.1970635950000002e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	8	11.383409679399444	113.83409679399443	2550980494.2365227	4029879.6637824937	129228045.59073751	11590901.230843389	0.1292448203301825	0.0080875610467699335	8.2370013132516368e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.1130131199999989	111492.94481611441	2.7063961649999998e-07	0.02540838481632	39.564999999999998	32134.897381250001	3.3055736450000004e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
0	9	9.6606571514172561	96.606571514172558	2599260550.5209112	3175763.2883765474	108366163.33205862	9089687.0338612907	0.097331812148554575	0.0057183354107517943	9.8820801655070782e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	6.0490473599999977	96046.032610331589	2.394105835e-07	0.023505042213240002	18.827000000000002	32134.897381250001	2.9988195050000004e-07	nan	nan	nan	5.9999999999999995e-08	1	0	0	0	0	0
