i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:mTesla1	odmr:Gauss1	odmr:resonanceFrequency1	odmr:resonanceFrequency_err1	odmr:FWHM1	odmr:FWHM_err1	odmr:contrast1	odmr:contrast_err1	odmr:sensitivity1	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	9.8630879108598748	98.630879108598748	2593587438.2770834	1466962.7224806098	72637979.945115805	4335236.5466265297	0.072459884245267697	0.0029476637480049363	8.2773655327021451e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.029651839999998	110980.42262651464	2.9288448749999999e-07	0.022939010212680001	17.597000000000001	32133.219353750002	4.1289729799999999e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	1	12.966014295017061	129.66014295017061	2506628076.4185982	875114.4998844259	53317312.600459136	2521548.4510760987	0.15778886594473199	0.0051981619516458808	2.6263122243006176e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.9861436799999992	125253.38775545594	3.3527225050000002e-07	0.023185724671320001	13.321	32133.219353750002	4.5534074850000001e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	2	13.390662780205796	133.90662780205795	2494727323.1571846	777549.44498432835	50107799.59482076	2230795.1797250379	0.18784947263216425	0.0058464962353771367	2.1192656951644058e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.848733919999999	119872.14746193733	3.4264962050000001e-07	0.022647486140760002	11.979000000000001	32133.219353750002	4.6268786850000002e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	3	14.917488864697093	149.17488864697094	2451938095.9766254	823597.42119131063	71448284.597194687	2414916.7581799026	0.18383985366132419	0.0042659547616616155	2.9995171375174272e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.9357180799999991	127028.15339862964	3.6028530450000002e-07	0.022727645778060003	13.433	32133.219353750002	4.8038213300000008e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	4	14.950492184052033	149.50492184052032	2451013179.5477438	634798.68994556542	54802764.753760479	1827344.6851007594	0.17762938985640706	0.0041293565639577276	2.5105498532431538e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	5.2430017599999985	114270.98967824878	3.6222752500000006e-07	0.023020680506820001	19.493000000000002	32133.219353750002	4.8226713150000007e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	5	14.848449750286779	148.48449750286778	2453872913.819243	745782.558310466	57104640.084902078	2151382.1935602305	0.18289710350196334	0.0047956244756774393	2.5378343243869325e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	5.1194590399999989	114525.18623920862	3.4890143750000003e-07	0.022865360787000001	22.587	32133.219353750002	4.6892874600000001e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	6	15.077698954746838	150.77698954746839	2447448215.9507413	1045209.8806093255	69159110.882044241	3056293.0931204474	0.17014482357730815	0.0051741319793805543	3.2751620245858321e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.9483244799999992	116545.13258241635	3.4986192450000003e-07	0.023004740134320002	16.091000000000001	32133.219353750002	4.6986259650000005e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	7	14.636433634188558	146.36433634188558	2459814655.2197962	862219.45898384287	52041650.948620312	2476245.9507029615	0.15711563067971032	0.0052219991565746306	2.6713927165689018e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.9584095999999991	116328.53760257657	3.612586725e-07	0.023179744170540001	12.669	32133.219353750002	4.814366865e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	8	15.025207683446689	150.25207683446689	2448919281.2904501	982101.62773373385	63755669.385440744	2854711.2109200973	0.15453631898414347	0.0047853188291344367	3.2965838622610286e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	3.9836223999999989	118507.71800058162	3.6067059050000004e-07	0.022389549659880003	11.135	32133.219353750002	4.8072542649999997e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	9	14.855972561093601	148.55972561093603	2453662087.4101849	670548.59109553718	58179984.31285879	1936653.0954704976	0.13911491697254041	0.0032197017591528987	3.3865313373505112e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.023348639999998	115395.26774357518	3.8233769750000003e-07	0.022786034953800001	12.766999999999999	32133.219353750002	5.0249562000000005e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	10	15.373911831407829	153.7391183140783	2439146864.4071717	798859.41831640259	61379591.199494675	2317346.4088270599	0.12505060499069329	0.0032705345700240508	4.2182074089465747e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.027130559999998	102451.6429553701	3.8282269850000003e-07	0.022688927839440001	16.179000000000002	32133.219353750002	5.0286712850000002e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	11	17.401409167393808	174.01409167393808	2382326349.6159358	5181435.0719448859	71557682.816588521	7284603.4616915891	0.07951125899057071	0.012097400704715528	7.6899311452489365e-05	16.140823872057265	161.40823872057265	2417654191.5558376	2065630.9586419254	42804183.003754735	6926692.845636514	0.086524782894531652	0.014631234548127684	4.2270803826908756e-05	10.106550879999999	103635.55405165092	3.9917296650000001e-07	0.022596120538380001	19.062999999999999	32133.219353750002	5.1925514850000004e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	12	16.559093948257473	165.59093948257473	2405932192.8978677	1165690.8184214088	72398183.253324792	3443274.8566371277	0.11792644311118348	0.0038244697217825288	5.0711354345675716e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.056125279999998	110897.28587788637	4.1632649300000001e-07	0.02264310131214	8.9250000000000007	32133.219353750002	5.3637989350000003e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	13	17.392199483721726	173.92199483721726	2382584450.5554657	5762872.7630479941	77683115.574592933	8529741.092258025	0.074924929870039167	0.010831480077360464	8.478852223275101e-05	16.033256887624223	160.33256887624222	2420668751.0926342	1964796.3843300832	42568895.406490952	7424456.1374066519	0.083599340498654223	0.013724887639634703	4.1641494302852871e-05	10.106550879999999	113142.25927094923	3.9817600349999999e-07	0.022469261331840001	16.995000000000001	32133.219353750002	5.1823131800000007e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	14	16.919879355487328	169.19879355487328	2395821199.3078332	1115358.3858001002	85955912.194222465	3351180.0855959244	0.12475732123834213	0.0032684324008867929	5.6408379300167093e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.006960319999997	112883.52945122903	3.9998632299999997e-07	0.02289757178382	12.463000000000001	32133.219353750002	5.200436505e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	15	16.86158613730429	168.61586137304289	2397454863.9283528	959849.52943253866	92101472.979188904	2913988.7351112878	0.11933269310640506	0.0025137753140573164	6.0572176775204069e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.044779519999997	122847.49481489867	4.0282175450000001e-07	0.02248301746458	13.637	32133.219353750002	5.2291330300000009e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	16	17.813041463070146	178.13041463070147	2370790374.4361444	2295812.9825640162	52846368.657844543	5951530.316296733	0.068304444281357068	0.005227712657212575	6.0955932469903011e-05	16.248688907888354	162.48688907888354	2414631279.1430244	1385915.5772700768	47956693.145165086	3874235.9439735939	0.10010128801614125	0.0055687456683284221	3.77449934636975e-05	10.101508319999997	121898.62751110423	4.0771130400000001e-07	0.022686553950120002	7.915	32133.219353750002	5.2774008100000007e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	17	16.792499273111314	167.92499273111315	2399391019.9563203	1076854.5311521254	76416265.943649694	3197418.3891821494	0.12139557407687668	0.0034480258044442369	4.9675679914386004e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.046040159999997	121500.11154245678	4.1842893950000004e-07	0.022462430677860003	13.531000000000001	32133.219353750002	5.3849105750000002e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	18	16.86882036735182	168.68820367351819	2397252124.9811182	1300974.5660654723	91473896.342709169	3936526.4541371316	0.11959993336608782	0.00343823333085546	6.127778302967924e-05	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	10.040997599999997	117875.83735703715	4.1619414100000001e-07	0.023136765656460001	8.5990000000000002	32133.219353750002	5.3643689550000002e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	19	17.937266260039689	179.37266260039689	2367308980.508584	2974149.9800520507	58569538.888922788	6747418.1617175024	0.07123344806130058	0.0061185949730147276	6.491512480383034e-05	16.439394163987362	164.39394163987362	2409286773.5633559	1756142.5350885626	43551855.712928608	5304456.4020639788	0.081623079938146562	0.0072439888146199009	4.2126147577833556e-05	10.087641279999998	121389.82404417936	4.1079637500000003e-07	0.022746097372320001	10.845000000000001	32133.219353750002	5.308378515e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	20	17.829220370437753	178.29220370437753	2370336961.3395791	3859588.1892750612	70326087.111627921	7603729.7104473971	0.072362586316895183	0.0064132249986818901	7.7001244815608314e-05	16.29343263176532	162.93432631765319	2413377338.445179	1611586.518466902	41594329.339780085	5585849.6226744661	0.084174215901017882	0.0084483619330070602	3.915168150689297e-05	10.072513599999997	120533.46842837724	4.0817654899999997e-07	0.022730533029120002	9.479000000000001	32133.219353750002	5.2849650700000004e-07	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
