i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	0.21977638601395005	2.1977638601395006	2863840777.4103451	11964155.179389892	244000000	50330415.021890983	0.028196553466486619	0.002368855347899248	0.00080854388295052194	7.2507040000000087	86671.997643263225	-2.5988140585000001e-06	0.015867628814460001	30.407	32192.730212500002	-2.4795566290000005e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	1	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0123504000000088	82171.307355091572	-2.7282638185000002e-06	0.01843177261116	14.463000000000001	32192.730212500002	-2.6081119185000001e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	2	12.462351558126729	124.62351558126728	2520743200.2628198	21682244.502588112	244000000	60633213.234886013	0.035779555277491042	0.0030273312504187299	0.00064935937544585037	7.0386256000000085	83452.229651197718	-2.7272485515000001e-06	0.024414006395760003	9.2430000000000003	32192.730212500002	-2.6074047780000004e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	3	15.217584488389567	152.17584488389568	2443527930.6352682	20541968.255920459	244000000	72444550.76297535	0.019042658709300126	0.0020963879950532702	0.001135647240968516	7.0461328000000085	96324.327012400216	-2.7763023475000003e-06	0.0230485688016	-1.5429999999999999	32192.730212500002	-2.6561766440000005e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	4	13.976594693299877	139.76594693299876	2478306609.6283903	13624824.43958744	229758943.88044238	54873993.379662596	0.022939452682787079	0.002325709999613664	0.00084745268585145728	7.0311184000000084	105693.00041939261	-2.7603080560000001e-06	0.023173678654440002	4.1909999999999998	32192.730212500002	-2.6402134550000004e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	5	14.745840123868335	147.45840123868336	2456748543.6374183	11770713.538632516	168575777.56859189	35632890.965626098	0.026882434764451721	0.0025001334214736159	0.00058626977040721832	7.1481056000000089	86567.831342614634	-2.7823818220000002e-06	0.023086184810880001	0.495	32192.730212500002	-2.66220317e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	6	15.424673545965105	154.24673545965103	2437724269.8115406	8416026.3911670949	173980494.44813439	31232455.815396737	0.035118276354839995	0.0033877104031351992	0.00042872175615660707	7.0586448000000086	101037.38326654419	-2.7778201934999999e-06	0.023571537272760002	-1.127	32192.730212500002	-2.6575605044999998e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	7	20.554112149059446	205.54112149059446	3446027998.9805274	1863941.9001605972	35266557.272764221	5299534.3293389501	0.062739971562277605	0.0066392729970735287	5.0235093523166773e-05	7.1412240000000091	94737.400759309487	-2.8092901100000003e-06	0.023731673437440003	-2.339	32192.730212500002	-2.6892196925e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	8	20.157287055580412	201.57287055580412	3434906994.926239	2198702.0171239306	44042995.235754862	6281591.6062331134	0.076589967401287318	0.0076627059711646892	5.0157102459087385e-05	7.0029664000000089	99458.852180127433	-2.8020975399999998e-06	0.023131403151660002	7.2709999999999999	32192.730212500002	-2.6820889315e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	9	19.902104244685248	199.02104244685248	3427755508.9915428	975359.20279523719	24914970.472618733	2763970.6809333367	0.093260428113779811	0.0073049084486970749	2.1889300226502716e-05	7.0336208000000084	112709.51655511469	-2.7428982020000001e-06	0.02174572210188	-0.53700000000000003	32192.730212500002	-2.6222213875e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	10	19.241729264256847	192.41729264256847	3409248532.100771	1026500.2140709278	23266471.406267844	2908439.5710419496	0.11286225280894398	0.0099627921574566413	1.6364303525381561e-05	7.0699056000000091	120078.97248302706	-2.733848062e-06	0.023482575280020002	-0.45100000000000001	32192.730212500002	-2.6137813625e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	11	18.816777947666004	188.16777947666003	3397339292.0039582	3017794.6548674745	54165326.784189731	8687568.3043663427	0.066237463366538671	0.0074063990850945774	7.2237105642838302e-05	7.0354976000000091	96964.570068220783	-2.6537298370000002e-06	0.02303161151508	6.2290000000000001	32192.730212500002	-2.5336052664999998e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	12	18.475688695071689	184.75688695071688	3387780282.1950788	2366366.1092995727	51894111.575924918	6799306.7000864539	0.066153929904400097	0.0060520822639830224	6.0695099732825962e-05	7.0686544000000087	126390.95780379346	-2.6498321575000003e-06	0.023582288440920002	13.339	32192.730212500002	-2.5298748365000005e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	13	17.982419447722332	179.82419447722333	3373956435.3926139	2739825.8286536955	63970817.544650681	7965331.9834420215	0.064694424795021285	0.0055702794985261848	7.6958270916316267e-05	7.0955552000000086	124915.94738069248	-2.5134376575000002e-06	0.023326320391680002	14.113	32192.730212500002	-2.3934465885e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	14	17.447595232311979	174.4759523231198	3358968012.6198378	2246647.0141679165	60148903.099745817	6511244.8715369655	0.071760865567862056	0.0053854114170314993	6.5933884010861699e-05	7.0442560000000087	122281.61497821756	-2.5103492975000001e-06	0.027475532322120001	15.065	32192.730212500002	-2.390662274e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	15	11.607550563159272	116.07550563159272	2544698956.8086066	957551.51841727342	28247703.979929186	2715757.643870526	0.1812011431476836	0.012292063828814514	1.2848749284823314e-05	1.9881568000000025	111383.56894184589	-2.4016624170000002e-06	0.035874323307900004	8.6869999999999994	32192.730212500002	-2.2808329115000005e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	16	10.787917058153512	107.87917058153512	2567669146.1489167	1003009.5971838597	27747433.930254616	2846092.7816387941	0.17477490828444697	0.012644126426471745	1.3011274352537997e-05	1.3713152000000017	112653.89605540711	-2.4032122675e-06	0.0230756265621	9.7490000000000006	32192.730212500002	-2.2827892505000003e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	17	10.360127662262094	103.60127662262094	2579657923.2808785	822126.24360523466	31661705.734641679	2334134.5521293455	0.1270496843899333	0.0066032540634112626	2.0867109169439553e-05	7.0936784000000088	107918.34036344233	-2.3720912270000002e-06	0.02610941133558	14.000999999999999	32192.730212500002	-2.2524101820000001e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	18	9.9324145949865699	99.324145949865695	2591644561.3070712	899963.16851599503	38624273.853866637	2563829.543159965	0.1200145364335629	0.00560112638797566	2.4147818885984135e-05	7.1706272000000091	134398.84310259481	-2.3706518109999998e-06	0.02397904186008	12.185	32192.730212500002	-2.2504105414999998e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	19	11.823632798576577	118.23632798576577	3201356737.3892264	2935026.2042768616	77781450.701890677	8704196.2075376585	0.063560524262306059	0.0048352736780511345	9.2072859621041201e-05	7.0536400000000086	133663.3284375158	-2.343732138e-06	0.022827895189440003	13.843	32192.730212500002	-2.2231778304999997e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	20	11.489223544358344	114.89223544358344	3191984934.211792	3025853.9194447338	73050225.962538257	8902884.0579931792	0.055175202938396069	0.0046028877613396987	9.8687260278796941e-05	7.0542656000000088	136185.68600535806	-2.3407167465e-06	0.018086087240759999	25.875	32192.730212500002	-2.2205195540000002e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	21	nan	nan	nan	nan	4.9999999999999999e-13	0	0	nan	nan	7.0073456000000087	116020.25166276928	-2.2573661715000001e-06	0.01208222359686	28.449000000000002	32192.730212500002	-2.136087646e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
0	22	11.434564056839157	114.34564056839157	3190453104.7173996	3664066.3748660106	109693848.82413104	11561928.713442745	0.064618737917603267	0.0043727352384731362	0.00013961223958260579	7.0211088000000093	111866.23400566004	-2.2591462244999998e-06	0.027562761310260003	13.303000000000001	32192.730212500002	-2.1390036525e-06	nan	nan	nan	1.1999999999999999e-07	1	0	0	0	0	0
