i	j	odmr:mTesla0	odmr:Gauss0	odmr:resonanceFrequency0	odmr:resonanceFrequency_err0	odmr:FWHM0	odmr:FWHM_err0	odmr:contrast0	odmr:contrast_err0	odmr:sensitivity0	odmr:integrationTime	odmr:intensity	afm:height	afm:amplitude	afm:phase	afm:frequency	afm:scanHeight	afm:refPointX	afm:refPointY	afm:refPointZ	afm:zDist	afm:success	moke:difference	moke:A	moke:B	moke:arctan((A-diff)/A)	moke:difference/(A+B)
0	0	15.103377039183471	151.03377039183471	2446728588.8761969	4975056.7730561448	150319191.42492428	15657001.536964774	0.049797943735556509	0.003303019372349416	0.00027998757792974664	7.017108480000001	87948.191446514436	4.5313655200000003e-07	0.014001856443180001	21.780999999999999	32192.730212500002	6.0394075499999998e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	1	15.957655945811815	159.57655945811814	2422787463.8308654	1136440.200440461	42036232.484423071	3221257.6526602893	0.13023964502915225	0.0070452712364526115	3.2006885052974673e-05	7.0786355200000006	76943.642381519312	3.0055609649999996e-07	0.023804685248220003	29.931000000000001	32192.730212500002	4.5070031050000005e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	2	16.253246120333355	162.53246120333355	2414503563.4846401	1580922.6847963261	56780157.359738387	4494705.4940053299	0.13638550276838701	0.0076030210742200665	4.1200567262701552e-05	7.1048601600000003	77258.944952971462	3.0202907900000001e-07	0.023635007748780003	25.041	32192.730212500002	4.5227903599999997e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	3	17.052504167755565	170.52504167755563	2392104395.3577518	1452347.8163343726	64427314.679043919	4138450.8614490768	0.11708845055635834	0.0052870689984335882	4.6564010157264905e-05	7.0594713600000008	105659.75297051137	8.2652916500000007e-08	0.02532462837702	23.766999999999999	32192.730212500002	2.3290460050000001e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	4	17.202558742499264	172.02558742499264	2387899123.1571989	1134933.3700162156	53628453.412364669	3224111.8187931953	0.12593639680337959	0.005335297038069781	3.5919941287265729e-05	7.0816614400000004	106344.53600764059	8.2776342000000009e-08	0.025879474323360002	21.315000000000001	32192.730212500002	2.3304875e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	5	16.441896358102685	164.41896358102684	2409216649.6942801	1780317.2780815559	65204499.477464512	5074260.0249426905	0.11811875340136653	0.0064604164286840952	4.9589149353505795e-05	7.0261862400000004	93765.3767629137	-1.18129154e-07	0.023552565777120001	26.599	32192.730212500002	3.1948240500000001e-08	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	6	16.811814007045569	168.11814007045569	2398849725.4718733	1965682.180840198	74933563.678356126	5623825.5511835143	0.13412071648003143	0.0070529837033107461	5.0834428461804246e-05	7.0554368000000007	91399.443901191204	-1.2063382100000001e-07	0.023560315250520002	23.135000000000002	32192.730212500002	2.94694895e-08	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	7	16.392716895896697	163.92716895896697	2410594901.7442842	1138156.000986415	46470880.238051556	3228471.5355257089	0.13193063670763666	0.0064664353439112835	3.2245704115364633e-05	7.0988083200000007	90286.984956934277	-2.7566994399999999e-07	0.023104191709620001	23.561	32192.730212500002	-1.256250545e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	8	16.641439823657404	166.41439823657404	2403624453.7220311	1022317.007190646	39986942.242495872	2896921.2852346683	0.14125508823373137	0.0072256358796542403	2.5765477875636101e-05	7.0352640000000006	91337.723786911185	-2.7405778399999996e-07	0.024221364950460001	25.153000000000002	32192.730212500002	-1.2350613550000001e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	9	16.733588912084265	167.33588912084264	2401041979.9751983	2086182.807615601	69920979.929874748	5956138.2990705557	0.1424244450483986	0.0085152178223550559	4.5537770242514207e-05	7.0846873600000011	87942.906770694812	-3.9968677650000001e-07	0.02315306897898	24.393000000000001	32192.730212500002	-2.4958242099999998e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	10	17.035076825687639	170.35076825687639	2392592795.7764192	868896.40953870281	39989942.046325818	2462188.2122607608	0.13751021235505795	0.0059780178615224059	2.6779567630872795e-05	7.0372812800000011	89232.471321652207	-4.020135075e-07	0.023819814705360001	23.385000000000002	32192.730212500002	-2.5197382099999999e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	11	17.146064552080741	171.46064552080742	3350517629.888381	2679437.3763341182	93119003.169978052	7739822.1782148564	0.083064413251046867	0.0047997079989902667	0.00010117065131636696	7.0403072000000009	92904.326674835989	-4.7143443050000001e-07	0.023604369535380001	25.125	32192.730212500002	-3.2133382599999999e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	12	17.626958767154946	176.26958767154946	3363994667.0097914	3450488.6822296516	110882728.3623953	10097203.2552433	0.07941977958940559	0.0049733030247156151	0.00012806053611064187	7.0150912000000005	89936.963328431128	-4.6748218550000004e-07	0.023539130086740002	25.417000000000002	32192.730212500002	-3.1727343450000005e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	13	19.147288615969938	191.47288615969939	2333398162.50032	1479981.5239359788	50197982.986789338	4201126.8515138729	0.17202117915828533	0.010151166177988951	2.4729602533826618e-05	3.1277926400000005	105359.28622173621	-4.2187126300000003e-07	0.023715177195540001	22.812999999999999	32192.730212500002	-2.7180902650000001e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
0	14	20.02925571447128	200.29255714471279	2308681077.2167487	1190626.2515444534	40413730.76571656	3374520.9839769928	0.17523513727186549	0.010329757754241541	1.9525872335968557e-05	2.118144	105558.45117234711	-4.2212547300000002e-07	0.023568169358160002	24.743000000000002	32192.730212500002	-2.7209943200000001e-07	nan	nan	nan	1.4999999999999999e-07	1	0	0	0	0	0
